amazon_product_url,author,description,publisher,title,oid,bestsellers_date.numberLong,published_date.numberLong,rank.numberInt,rank_last_week.numberInt,weeks_on_list.numberInt,price.numberDouble
http://www.amazon.com/Zero-History-William-Gibson/dp/0399156828?tag=NYTBS-20,William Gibson,Several characters from “Spook Country” return to a viral marketing and coolhunting agency; from the author of “Pattern Recognition” and “Neuromancer.”,Putnam,ZERO HISTORY,5b4aa4ead3089013507dbaf3,2010-09-12,2010-09-26,9,0,1,26.95
http://www.amazon.com/Dark-Peril-Carpathian-Christine-Feehan/dp/0425236595?tag=NYTBS-20,Christine Feehan,A Dragonseeker on a deadly mission; a Carpathian novel.,Berkley,DARK PERIL,5b4aa4ead3089013507dbaf4,2010-09-12,2010-09-26,10,3,2,25.95
http://www.amazon.com/The-Way-Kings-Stormlight-Archive/dp/0765365278?tag=NYTBS-20,Brandon Sanderson,"In the first book of a new series, the Stormlight Archive, war ravages the world of Roshar.",Tor/Tom Doherty,THE WAY OF KINGS,5b4aa4ead3089013507dbaf5,2010-09-12,2010-09-26,11,7,2,27.99
http://www.amazon.com/The-High-King-Montival-Change/dp/0451463528?tag=NYTBS-20,S M Stirling,"
Further adventures in a postapocalyptic America, set in what used to be the Pacific Northwest.",Roc,THE HIGH KING OF MONTIVAL,5b4aa4ead3089013507dbaf6,2010-09-12,2010-09-26,12,0,1,25.95
http://www.amazon.com/Spider-Bones-Tempe-Brennan-Reichs/dp/1439102406?tag=NYTBS-20,Kathy Reichs,Temperance Brennan investigates the case of a man who seems to have died twice.,Scribner,SPIDER BONES,5b4aa4ead3089013507dbaf7,2010-09-12,2010-09-26,13,8,3,26.99
http://www.amazon.com/Star-Island-Carl-Hiaasen/dp/0446556122?tag=NYTBS-20,Carl Hiaasen,A paparazzo attempting to kidnap a drug-addled pop star grabs her stunt double by mistake.,Knopf,STAR ISLAND,5b4aa4ead3089013507dbaf8,2010-09-12,2010-09-26,14,10,7,26.95
http://www.amazon.com/The-Cobra-Frederick-Forsyth/dp/0451233565?tag=NYTBS-20,Frederick Forsyth,A former C.I.A. operative is unleashed on the cocaine industry.,Putnam,THE COBRA,5b4aa4ead3089013507dbaf9,2010-09-12,2010-09-26,15,11,4,26.95
http://www.amazon.com/Safe-Haven-Nicholas-Sparks/dp/044654759X?tag=NYTBS-20,Nicholas Sparks,The arrival of a mysterious young woman in a small North Carolina town raises questions about her past.,Grand Central,SAFE HAVEN,5b4aa4ead3089013507dbaff,2010-09-19,2010-10-03,1,0,1,25.99
http://www.amazon.com/Wicked-Appetite-Janet-Evanovich/dp/0312383355?tag=NYTBS-20,Janet Evanovich,A dangerous man needs Elizabeth Tucker’s help to find an ancient power source.,St. Martin’s,WICKED APPETITE,5b4aa4ead3089013507dbb01,2010-09-19,2010-10-03,3,0,1,27.99
http://www.amazon.com/Girl-Kicked-Hornets-Millennium-Trilogy/dp/030726999X?tag=NYTBS-20,Stieg Larsson,The third volume of a trilogy about a Swedish hacker and a journalist.,Knopf,THE GIRL WHO KICKED THE HORNET’S NEST,5b4aa4ead3089013507dbb02,2010-09-19,2010-10-03,4,2,17,27.95
http://www.amazon.com/The-Help-Kathryn-Stockett/dp/0425232204?tag=NYTBS-20,Kathryn Stockett,A young white woman and two black maids in 1960s ­Mississippi.,Amy Einhorn/Putnam,THE HELP,5b4aa4ead3089013507dbb03,2010-09-19,2010-10-03,5,5,77,24.95
http://www.amazon.com/Getting-Happy-Terry-McMillan/dp/0451233344?tag=NYTBS-20,Terry McMillan,"Revisiting the four women from “Waiting to Exhale,” 15 years later.",Viking,GETTING TO HAPPY,5b4aa4ead3089013507dbb04,2010-09-19,2010-10-03,6,4,2,27.95
http://www.amazon.com/The-Postcard-Killers-James-Patterson/dp/145550663X?tag=NYTBS-20,James Patterson and Liza Marklund,"An N.Y.P.D. detective joins a Swedish reporter in a search for the killer of young couples in Europe, including his daughter and her boyfriend.","Little, Brown",THE POSTCARD KILLERS,5b4aa4ead3089013507dbb05,2010-09-19,2010-10-03,7,6,5,27.99
http://www.amazon.com/No-Mercy-Dark-Hunters-Sherrilyn-Kenyon/dp/0312537921?tag=NYTBS-20,Sherrilyn Kenyon,Book 19 of the Dark-Hunter paranormal series.,St. Martin’s,NO MERCY,5b4aa4ead3089013507dbb06,2010-09-19,2010-10-03,8,3,2,24.99
http://www.amazon.com/Warlord-New-Alex-Hawke-Novel/dp/0061859311?tag=NYTBS-20,Ted Bell,The counterspy Alex Hawke races to stop a madman from murdering the British royal family.,Morrow/HarperCollins,WARLORD,5b4aa4ead3089013507dbb07,2010-09-19,2010-10-03,9,0,1,27.99
http://www.amazon.com/Room-A-Novel-Emma-Donoghue/dp/0316098329?tag=NYTBS-20,Emma Donoghue,A mother’s prison is her young son’s entire world.,"Little, Brown",ROOM,5b4aa4ead3089013507dbb08,2010-09-19,2010-10-03,10,0,1,24.99
