state,race,type,all_workers_n,artists_n,artists_share,location_quotient
Mississippi,Asian,Architects,14850,0,NA,0
Missouri,Asian,Architects,63375,110,0.00173570019723865,0.835982257967482
Montana,Asian,Architects,4980,0,NA,0
Nebraska,Asian,Architects,24515,0,NA,0
Nevada,Asian,Architects,131920,0,NA,0
New Hampshire,Asian,Architects,20330,0,NA,0
New Jersey,Asian,Architects,450385,1035,0.00229803390432629,1.1068245399066314
New Mexico,Asian,Architects,16455,0,NA,0
New York,Asian,Architects,864770,2440,0.00282155948980653,1.3589752867636018
North Carolina,Asian,Architects,154710,230,0.00148665244651283,0.7160309545541812
North Dakota,Asian,Architects,6855,0,NA,0
Ohio,Asian,Architects,136125,160,0.00117539026629935,0.566114707123484
Oklahoma,Asian,Architects,44710,85,0.00190114068441064,0.9156649775093187
Oregon,Asian,Architects,98010,200,0.00204060810121416,0.9828380332004932
Pennsylvania,Asian,Architects,227500,575,0.00252747252747252,1.2173313074623888
Rhode Island,Asian,Architects,18645,0,NA,0
South Carolina,Asian,Architects,41915,0,NA,0
South Dakota,Asian,Architects,7135,0,NA,0
Tennessee,Asian,Architects,62925,50,7.945967421533572e-4,0.38270939862526954
Texas,Asian,Architects,712575,1840,0.00258218433147388,1.2436826886048753
Utah,Asian,Architects,40990,40,9.758477677482312e-4,0.4700071023858518
Vermont,Asian,Architects,6080,0,NA,0
Virginia,Asian,Architects,304945,615,0.00201675712013641,0.971350451965074
Washington,Asian,Architects,355135,815,0.00229490193869936,1.1053160606768409
West Virginia,Asian,Architects,7825,0,NA,0
Wisconsin,Asian,Architects,85760,75,8.745335820895522e-4,0.4212101604797414
Wyoming,Asian,Architects,2835,0,NA,0
Puerto Rico,Asian,Architects,1335,0,NA,0
Alabama,Other,Architects,43075,0,NA,0
Alaska,Other,Architects,71330,40,5.607738679377541e-4,0.647434998759827
Arizona,Other,Architects,182520,90,4.930966469428008e-4,0.5692990441511152
Arkansas,Other,Architects,37895,0,NA,0
California,Other,Architects,688910,680,9.870665253806738e-4,1.139606267649118
Colorado,Other,Architects,87510,230,0.0026282710547366,3.034440020041666
Connecticut,Other,Architects,41230,45,0.00109143827310211,1.2601074646915054
Delaware,Other,Architects,10885,0,NA,0
District of Columbia,Other,Architects,11085,40,0.0036084799278304,4.166128864369731
Florida,Other,Architects,214840,130,6.051014708620369e-4,0.6986129212437163
Georgia,Other,Architects,102865,340,0.00330530306712681,3.8160995180389534
Hawaii,Other,Architects,198250,155,7.818411097099621e-4,0.9026656319720634
Idaho,Other,Architects,25710,80,0.00311162971606378,3.5924961852616466
Illinois,Other,Architects,112345,75,6.675864524455917e-4,0.7707542357504527
Indiana,Other,Architects,61485,0,NA,0
Iowa,Other,Architects,27340,0,NA,0
Kansas,Other,Architects,43715,0,NA,0
Kentucky,Other,Architects,36080,0,NA,0
Louisiana,Other,Architects,42460,0,NA,0
Maine,Other,Architects,14700,0,NA,0
Maryland,Other,Architects,85910,50,5.820044232336166e-4,0.6719464914087193
Massachusetts,Other,Architects,97815,135,0.00138015641772734,1.5934436672053605
Michigan,Other,Architects,120390,0,NA,0
Minnesota,Other,Architects,83065,50,6.019382411364593e-4,0.6949608508628553
Mississippi,Other,Architects,17430,0,NA,0
Missouri,Other,Architects,70070,25,3.5678607107178533e-4,0.4119232415935712
Montana,Other,Architects,37130,0,NA,0
Nebraska,Other,Architects,24240,0,NA,0
Nevada,Other,Architects,69460,0,NA,0
New Hampshire,Other,Architects,12270,0,NA,0
New Jersey,Other,Architects,85410,105,0.00122936424306287,1.419348301856205
New Mexico,Other,Architects,91840,35,3.8109756097560977e-4,0.4399917917448405
New York,Other,Architects,234265,440,0.00187821484216592,2.168471274312949
North Carolina,Other,Architects,145630,30,2.0600151067774497e-4,0.23783666721248264
North Dakota,Other,Architects,23305,0,NA,0
Ohio,Other,Architects,121180,80,6.601749463607857e-4,0.7621973669176177
Oklahoma,Other,Architects,242885,85,3.4995985754575213e-4,0.40404211553109193
Oregon,Other,Architects,93460,95,0.00101647763749197,1.173562527778235
Pennsylvania,Other,Architects,104810,90,8.586966892472093e-4,0.9913983545316436
Rhode Island,Other,Architects,16140,55,0.00340768277571251,3.9343008292822415
South Carolina,Other,Architects,46335,0,NA,0
South Dakota,Other,Architects,32695,0,NA,0
Tennessee,Other,Architects,60575,0,NA,0
Texas,Other,Architects,261190,275,0.0010528733871894,1.2155828206404415
Utah,Other,Architects,57995,0,NA,0
Vermont,Other,Architects,5900,0,NA,0
Virginia,Other,Architects,128845,95,7.373200357018121e-4,0.8512643396806537
Washington,Other,Architects,214925,325,0.00151215540304757,1.7458415726416192
West Virginia,Other,Architects,10700,0,NA,0
Wisconsin,Other,Architects,66920,0,NA,0
Wyoming,Other,Architects,10830,0,NA,0
Puerto Rico,Other,Architects,2275,0,NA,0
Alabama,Hispanic,Landscape Architects,88165,0,NA,0
Alaska,Hispanic,Landscape Architects,26875,0,NA,0
Arizona,Hispanic,Landscape Architects,1033370,70,6.773953182306433e-5,0.6038489027737797
Arkansas,Hispanic,Landscape Architects,101405,0,NA,0
California,Hispanic,Landscape Architects,7470730,550,7.362065019081132e-5,0.6562748168282605
Colorado,Hispanic,Landscape Architects,594525,185,3.1117278499642574e-4,2.773880180984292
Connecticut,Hispanic,Landscape Architects,288845,0,NA,0
Delaware,Hispanic,Landscape Architects,41365,0,NA,0
District of Columbia,Hispanic,Landscape Architects,44885,0,NA,0
Florida,Hispanic,Landscape Architects,2752995,530,1.9251760355540055e-4,1.7161551097698042
Georgia,Hispanic,Landscape Architects,467240,260,5.564592072596524e-4,4.960431120483464
Hawaii,Hispanic,Landscape Architects,69470,0,NA,0
Idaho,Hispanic,Landscape Architects,101285,0,NA,0
Illinois,Hispanic,Landscape Architects,1100445,110,9.995956181362992e-5,0.891067152347167
Indiana,Hispanic,Landscape Architects,212120,0,NA,0
Iowa,Hispanic,Landscape Architects,90730,0,NA,0
Kansas,Hispanic,Landscape Architects,167495,0,NA,0
Kentucky,Hispanic,Landscape Architects,76325,0,NA,0
Louisiana,Hispanic,Landscape Architects,113925,0,NA,0
Maine,Hispanic,Landscape Architects,10935,0,NA,0
Maryland,Hispanic,Landscape Architects,321570,40,1.2438971297073733e-4,1.108844269693496
Massachusetts,Hispanic,Landscape Architects,401715,70,1.7425289073099088e-4,1.5533384132017491
Michigan,Hispanic,Landscape Architects,236520,0,NA,0
Minnesota,Hispanic,Landscape Architects,149745,0,NA,0
Mississippi,Hispanic,Landscape Architects,38780,0,NA,0
Missouri,Hispanic,Landscape Architects,121550,0,NA,0
Montana,Hispanic,Landscape Architects,19215,0,NA,0
Nebraska,Hispanic,Landscape Architects,99485,0,NA,0
Nevada,Hispanic,Landscape Architects,430565,70,1.6257707895439712e-4,1.4492570010552197
New Hampshire,Hispanic,Landscape Architects,25860,0,NA,0
New Jersey,Hispanic,Landscape Architects,928940,95,1.0226710013563848e-4,0.9116371865111595
New Mexico,Hispanic,Landscape Architects,459615,0,NA,0
New York,Hispanic,Landscape Architects,1819490,300,1.6488136785582774e-4,1.4697980689863817
North Carolina,Hispanic,Landscape Architects,451040,0,NA,0
North Dakota,Hispanic,Landscape Architects,14510,0,NA,0
Ohio,Hispanic,Landscape Architects,204545,95,4.644454765455034e-4,4.140195301951534
Oklahoma,Hispanic,Landscape Architects,187725,40,2.130776401651352e-4,1.8994329567470367
Oregon,Hispanic,Landscape Architects,266060,0,NA,0
Pennsylvania,Hispanic,Landscape Architects,423215,0,NA,0
Rhode Island,Hispanic,Landscape Architects,78695,0,NA,0
South Carolina,Hispanic,Landscape Architects,134610,0,NA,0
South Dakota,Hispanic,Landscape Architects,15565,0,NA,0
Tennessee,Hispanic,Landscape Architects,167595,0,NA,0
Texas,Hispanic,Landscape Architects,5220455,420,8.045275747037375e-5,0.7171781087962723
Utah,Hispanic,Landscape Architects,213410,0,NA,0
Vermont,Hispanic,Landscape Architects,6470,0,NA,0
Virginia,Hispanic,Landscape Architects,427525,0,NA,0
Washington,Hispanic,Landscape Architects,448570,0,NA,0
West Virginia,Hispanic,Landscape Architects,12005,0,NA,0
Wisconsin,Hispanic,Landscape Architects,186120,0,NA,0
Wyoming,Hispanic,Landscape Architects,27680,0,NA,0
Puerto Rico,Hispanic,Landscape Architects,1208905,185,1.530310487590009e-4,0
Alabama,White,Landscape Architects,1496830,325,2.1712552527675157e-4,0.8917839879550441
Alaska,White,Landscape Architects,253950,45,1.772002362669817e-4,0.7278017320318497
Arizona,White,Landscape Architects,1857110,625,3.3654441578581776e-4,1.3822645718458628
Arkansas,White,Landscape Architects,1014735,190,1.8724100380887625e-4,0.7690414513565451
California,White,Landscape Architects,7686845,3340,4.345085662583284e-4,1.7846256515652992
Colorado,White,Landscape Architects,2172170,835,3.8440821850960097e-4,1.5788521117829708
Connecticut,White,Landscape Architects,1329540,595,4.475232035139973e-4,1.8380797311759545
Delaware,White,Landscape Architects,307920,45,1.4614185502727982e-4,0.6002378859752152
District of Columbia,White,Landscape Architects,183365,155,8.453085376162298e-4,3.471874703662783
Florida,White,Landscape Architects,5285390,1225,2.3177097621935184e-4,0.951936190835589
Georgia,White,Landscape Architects,2773560,685,2.469750068504017e-4,1.014382607726768
Hawaii,White,Landscape Architects,177700,65,3.6578503095104103e-4,1.5023624385939771
Idaho,White,Landscape Architects,688065,100,1.4533510642163167e-4,0.596924385695112
Illinois,White,Landscape Architects,4224420,995,2.355352924188409e-4,0.9673970948818787
Indiana,White,Landscape Architects,2724985,405,1.4862467132846602e-4,0.6104353780462624
Iowa,White,Landscape Architects,1463250,290,1.9818896292499573e-4,0.8140072131116289
Kansas,White,Landscape Architects,1178420,110,9.334532679350318e-5,0.3833905188198079
Kentucky,White,Landscape Architects,1787115,110,6.155171883174838e-5,0.25280692914985214
Louisiana,White,Landscape Architects,1337315,195,1.4581456126641816e-4,0.5988936159502055
